ParameterValue,Gene0_avg,Gene0_std,Gene1_avg,Gene1_std,Gene2_avg,Gene2_std,Gene3_avg,Gene3_std,Gene4_avg,Gene4_std
0.01,5.262151774007903,3.4405261729922567,4.748577636987277,2.5218828913954474,4.012055231476204,5.68940036709358,3.4092798899064407,4.285045548519563,5.992330121936151,2.796269009530591
0.01,4.491480278117393,5.290747279582811,4.593095458303491,4.335426931989302,1.7127457272262887,4.74301245993512,6.994288447029769,5.737938856848014,5.523230106872088,4.3046433504279955
0.01,4.278009853051434,4.485896438496973,5.50143004977894,6.162232228665254,6.689985205963755,4.095693787848772,4.224152296179241,3.6152681867302126,4.063120441768475,5.9948205984161405
0.01,5.417260693588566,4.681667954703935,6.386557405475749,4.751888326578383,4.043476319308411,4.534171516000419,5.927409186395364,3.64521448336091,6.07981968823267,6.308564205307036
0.01,5.441809501639881,2.1985380945999355,1.9709895452836208,4.380589068670815,9.142923284421315,4.639602041097535,1.3455971122438055,3.2956939033161974,14.5761811266197,6.84057241975566
0.01,4.12961825272271,3.9848715315806476,5.2091682514716116,3.225123572856617,5.032203347134287,4.729018032892122,8.54400637789289,4.571109178805406,4.909149567091161,3.9856279779775265
0.01,3.4281145773676895,3.495746633337293,6.996727085557179,3.8638533464516875,6.7576241476147,2.8092811843142074,5.325674416213542,4.457268853957796,4.468733769600327,5.429683808808951
0.01,5.667942954983773,4.999914948183952,3.950565442246918,4.941984953623985,5.206583122342583,4.570374071278892,4.188884902156406,3.012156652899699,7.28715252429421,3.371610995233636
0.01,5.610463985507583,4.977790453006678,4.755704216766965,4.2584139256351845,4.759630328242265,4.644595916974431,6.691133131496827,3.744533596645298,3.7368301855451045,4.535001634204756
0.01,6.463009260088911,5.307207114878325,4.749654465926637,4.374913129250442,3.0453149858747914,6.0528182985850405,4.079830166595377,3.7599620517423533,5.513073094680915,4.160564930618888
0.01,3.6233658820526036,3.4910226432109095,3.7699881990295694,3.4413812377584256,2.7527518538092903,3.723793703543054,5.389154679042662,2.9459187164933214,8.059477193807163,5.7857100828320975
0.01,4.97827938130637,4.994379696929632,6.481297259364025,4.283819526794249,2.9253247840522727,3.9925883118125243,6.3582667892842,4.677669773767764,6.721991359291616,5.932892586700118
0.01,6.556904024795072,3.211631627067444,5.51365507563538,4.011443446267355,4.139881497785932,3.8772302039039,4.882415928048467,5.115684261370433,4.711002662589321,3.9307425218820007
0.01,3.4694824229105823,3.4151050073235347,3.590758304857477,4.379414720089402,6.242508813999301,4.353067720852836,6.690021804819777,5.199677037126135,6.495461961411118,5.152305783294402
0.01,4.035333255723466,4.141564935004104,3.4652235081802454,5.295325572637198,6.078018846269948,5.003950161041401,5.059582165086816,3.3802771008811963,6.6072626973818815,5.2326459099728595
0.015,4.744601068835838,5.053308560185666,5.649651650087488,5.497336829865599,4.187715855970044,5.964136594411982,5.116547079954966,6.372593306169028,6.631904847056278,3.8429511573138653
